 initial abundance for selected isotopes
  209   0.00000E+00  SI 46
  210   0.00000E+00  SI 47
  211   0.00000E+00  SI 48
  212   0.00000E+00  SI 49
  213   0.00000E+00  SI 50
  214   0.00000E+00  SI 51
  215   0.00000E+00  SI 52
  216   0.00000E+00  SI 53
  217   0.00000E+00  SI 54
  218   0.00000E+00  P  23
  219   0.00000E+00  P  24
  220   0.00000E+00  P  25
  221   0.00000E+00  P  26
  222   0.00000E+00  P  27
  223   7.21383E-19  P  28
  224   4.67199E-04  P  32
  225   7.40676E-05  P  33
  226   1.75006E-08  P  34
  227   1.28132E-10  P  35
  228   2.82202E-22  P  36
  229   0.00000E+00  P  37
  230   0.00000E+00  P  38
  231   0.00000E+00  P  39
  232   0.00000E+00  P  40
  233   0.00000E+00  P  41
  234   0.00000E+00  P  42
  235   0.00000E+00  P  43
  236   0.00000E+00  P  44
  237   0.00000E+00  P  45
  238   0.00000E+00  P  46
  239   0.00000E+00  P  47
  240   0.00000E+00  P  48
  241   0.00000E+00  P  49
  242   0.00000E+00  P  50
  243   0.00000E+00  P  51
  244   0.00000E+00  P  52
  245   0.00000E+00  P  53
  246   0.00000E+00  P  54
  247   0.00000E+00  P  55
  248   0.00000E+00  P  56
  249   0.00000E+00  P  57
  250   0.00000E+00  S  25
  251   0.00000E+00  S  26
  252   0.00000E+00  S  27
  253   0.00000E+00  S  28
  254   0.00000E+00  S  29
  255   4.72760E-22  S  30
  256   1.53637E-02  S  32
  257   1.00150E-03  S  33
  258   8.46754E-02  S  34
  259   1.95517E-03  S  35
  260   1.93652E-03  S  36
  261   2.21486E-11  S  37
  262   5.02637E-13  S  38
  263   3.05609E-24  S  39
  264   0.00000E+00  S  40
  265   0.00000E+00  S  41
  266   0.00000E+00  S  42
  267   0.00000E+00  S  43
  268   0.00000E+00  S  44
  269   0.00000E+00  S  45
  270   0.00000E+00  S  46
  271   0.00000E+00  S  47
  272   0.00000E+00  S  48
  273   0.00000E+00  S  49
  274   0.00000E+00  S  50
  275   0.00000E+00  S  51
  276   0.00000E+00  S  52
  277   0.00000E+00  S  53
  278   0.00000E+00  S  54
  279   0.00000E+00  S  55
  280   0.00000E+00  S  56
  281   0.00000E+00  S  57
  282   0.00000E+00  S  58
  283   0.00000E+00  S  59
  284   0.00000E+00  S  60
  285   0.00000E+00  CL 26
  286   0.00000E+00  CL 27
  287   0.00000E+00  CL 28
  288   0.00000E+00  CL 29
  289   0.00000E+00  CL 30
  290   0.00000E+00  CL 31
  291   8.48036E-22  CL 32
  292   3.02429E-14  CL 33
  293   2.36340E-08  CL 34
  294   9.47653E-03  CL 35
  295   3.96096E-04  CL 36
  296   7.61252E-04  CL 37
  297   2.28654E-07  CL 38
  298   2.02670E-08  CL 39
  299   7.10470E-13  CL 40
  300   5.91365E-23  CL 41
  301   0.00000E+00  CL 42
  302   0.00000E+00  CL 43
  303   0.00000E+00  CL 44
  304   0.00000E+00  CL 45
  305   0.00000E+00  CL 46
  306   0.00000E+00  CL 47
  307   0.00000E+00  CL 48
  308   0.00000E+00  CL 49
  309   0.00000E+00  CL 50
  310   0.00000E+00  CL 51
  311   0.00000E+00  CL 52
  312   0.00000E+00  CL 53
  313   0.00000E+00  CL 54
  314   0.00000E+00  CL 55
  315   0.00000E+00  CL 56
  316   0.00000E+00  CL 57
  317   0.00000E+00  CL 58
  318   0.00000E+00  CL 59
  319   0.00000E+00  CL 60
  320   0.00000E+00  CL 61
  321   0.00000E+00  CL 62
  322   0.00000E+00  CL 63
  323   0.00000E+00  AR 27
  324   0.00000E+00  AR 28
  325   0.00000E+00  AR 29
  326   0.00000E+00  AR 30
  327   0.00000E+00  AR 31
  328   0.00000E+00  AR 32
  329   0.00000E+00  AR 33
  330   0.00000E+00  AR 34
  331   3.19303E-12  AR 35
  332   8.17242E-04  AR 36
  333   2.32076E-05  AR 37
  334   5.28230E-03  AR 38
  335   9.53011E-05  AR 39
  336   8.33028E-05  AR 40
  337   1.56156E-07  AR 41
  338   3.72063E-08  AR 42
  339   1.23180E-12  AR 43
  340   7.72793E-14  AR 44
  341   1.26112E-24  AR 45
  342   0.00000E+00  AR 46
  343   0.00000E+00  AR 47
  344   0.00000E+00  AR 48
  345   0.00000E+00  AR 49
  346   0.00000E+00  AR 50
  347   0.00000E+00  AR 51
  348   0.00000E+00  AR 52
  349   0.00000E+00  AR 53
  350   0.00000E+00  AR 54
  351   0.00000E+00  AR 55
  352   0.00000E+00  AR 56
  353   0.00000E+00  AR 57
  354   0.00000E+00  AR 58
  355   0.00000E+00  AR 59
  356   0.00000E+00  AR 60
  357   0.00000E+00  AR 61
  358   0.00000E+00  AR 62
  359   0.00000E+00  AR 63
  360   0.00000E+00  AR 64
  361   0.00000E+00  AR 65
  362   0.00000E+00  AR 66
  363   0.00000E+00  AR 67
  364   0.00000E+00  K  29
  365   0.00000E+00  K  30
  366   0.00000E+00  K  31
  367   0.00000E+00  K  32
  368   0.00000E+00  K  33
  369   0.00000E+00  K  34
  370   0.00000E+00  K  35
  371   8.09331E-26  K  36
  372   1.40530E-16  K  37
  373   7.56565E-10  K  38
  374   5.07944E-04  K  39
  375   5.51981E-05  K  40
  376   4.03521E-05  K  41
  377   1.48503E-05  K  42
  378   5.68453E-06  K  43
  379   3.69179E-07  K  44
  380   8.86207E-08  K  45
  381   5.06745E-10  K  46
  382   1.22381E-20  K  47
  383   0.00000E+00  K  48
  384   0.00000E+00  K  49
  385   0.00000E+00  K  50
  386   0.00000E+00  K  51
  387   0.00000E+00  K  52
  388   0.00000E+00  K  53
  389   0.00000E+00  K  54
  390   0.00000E+00  K  55
  391   0.00000E+00  K  56
  392   0.00000E+00  K  57
  393   0.00000E+00  K  58
  394   0.00000E+00  K  59
  395   0.00000E+00  K  60
  396   0.00000E+00  K  61
  397   0.00000E+00  K  62
  398   0.00000E+00  K  63
  399   0.00000E+00  K  64
  400   0.00000E+00  K  65
  401   0.00000E+00  K  66
  402   0.00000E+00  K  67
  403   0.00000E+00  K  68
  404   0.00000E+00  K  69
  405   0.00000E+00  K  70
  406   0.00000E+00  CA 30
  407   0.00000E+00  CA 31
  408   0.00000E+00  CA 32
  409   0.00000E+00  CA 33
  410   0.00000E+00  CA 34
  411   0.00000E+00  CA 35
  412   0.00000E+00  CA 36
  413   0.00000E+00  CA 37
  414   0.00000E+00  CA 38
  415   8.85961E-15  CA 39
  416   1.81356E-05  CA 40
  417   2.69199E-06  CA 41
  418   2.15212E-05  CA 42
  419   7.66919E-06  CA 43
  420   1.37499E-05  CA 44
  421   2.74323E-06  CA 45
  422   1.36180E-06  CA 46
  423   1.24941E-07  CA 47
  424   4.57310E-08  CA 48
  425   8.84110E-14  CA 49
  426   8.79226E-25  CA 50
  427   0.00000E+00  CA 51
  428   0.00000E+00  CA 52
  429   0.00000E+00  CA 53
  430   0.00000E+00  CA 54
  431   0.00000E+00  CA 55
  432   0.00000E+00  CA 56
  433   0.00000E+00  CA 57
  434   0.00000E+00  CA 58
  435   0.00000E+00  CA 59
  436   0.00000E+00  CA 60
  437   0.00000E+00  CA 61
  438   0.00000E+00  CA 62
  439   0.00000E+00  CA 63
  440   0.00000E+00  CA 64
  441   0.00000E+00  CA 65
  442   0.00000E+00  CA 66
  443   0.00000E+00  CA 67
  444   0.00000E+00  CA 68
  445   0.00000E+00  CA 69
