H initial abundance iniab1.6E-03As09.ppn
  Z   species  mass fraction   
  50  sn115    8.0386107331e-13
  50  sn116    3.4675811782e-11
  50  sn117    1.8473590947e-11
  50  sn118    5.8757104682e-11
  50  sn119    2.1015724495e-11
  50  sn120    8.0377883688e-11
  50  sn122    1.161301703e-11 
  50  sn124    1.4760616271e-11
  51  sb121    1.3281941385e-11
  51  sb123    1.0098378374e-11
  52  te120    3.0649824825e-13
  52  te122    8.8288523175e-12
  52  te123    3.1067002996e-12
  52  te124    1.6680315777e-11
  52  te125    2.5080354341e-11
  52  te126    6.7368314965e-11
  52  te128    1.1529782992e-10
  52  te130    1.257323925e-10 
  53  i 127    8.4490515948e-11
  54  xe124    4.929305751e-13 
  54  xe126    4.4340291287e-13
  54  xe128    9.125602101e-12 
  54  xe129    1.1456188157e-10
  54  xe130    1.8536379268e-11
  54  xe131    9.2596624041e-11
  54  xe132    1.1403900631e-10
  54  xe134    4.2745630899e-11
  54  xe136    3.5247533846e-11
  55  cs133    2.9981674314e-11
  56  ba130    3.9106906119e-13
  56  ba132    3.7835505978e-13
  56  ba134    9.1914851524e-12
  56  ba135    2.5255455655e-11
  56  ba136    3.0313357859e-11
  56  ba137    4.366987041e-11 
  56  ba138    2.807956457e-10 
  57  la138    2.9643175139e-14
  57  la139    3.2781109883e-11
  58  ce136    1.7935557392e-13
  58  ce138    2.4692044393e-13
  58  ce140    8.8273452774e-11
  58  ce142    1.1250270846e-11
  59  pr141    1.3874692088e-11
  60  nd142    1.8939282099e-11
  60  nd143    8.4791657674e-12
  60  nd144    1.6851795089e-11
  60  nd145    6.2665001607e-12
  60  nd146    1.2334298655e-11
  60  nd148    4.1721333097e-12
  60  nd150    4.1397413379e-12
  62  sm144    7.5597095309e-13
  62  sm147    3.7681068455e-12
  62  sm148    2.8446724572e-12
  62  sm149    3.5212637242e-12
  62  sm150    1.8930054404e-12
  62  sm152    6.9529901721e-12
  62  sm154    5.9910971638e-12
  63  eu151    4.4822898003e-12
  63  eu153    4.9577311149e-12
  64  gd152    6.6969618483e-14
  64  gd154    7.3957369464e-13
  64  gd155    5.0535626579e-12
  64  gd156    7.034717832e-12 
  64  gd157    5.4127533255e-12
  64  gd158    8.645953982e-12 
  64  gd160    7.7050308423e-12
  65  tb159    5.9484164441e-12
  66  dy156    2.0621339227e-14
  66  dy158    3.543112429e-14 
  66  dy160    8.796171989e-13 
  66  dy161    7.1785889128e-12
  66  dy162    9.7799108996e-12
  66  dy163    9.5790275193e-12
  66  dy164    1.0940073676e-11
  67  ho165    9.3430395106e-12
  68  er162    3.4360396296e-14
  68  er164    4.0948634228e-13
  68  er166    8.6735328286e-12
  68  er167    5.9561809996e-12
  68  er168    7.0684350751e-12
  68  er170    3.9530363331e-12
  69  tm169    3.9892471719e-12
  70  yb168    2.615138949e-14 
  70  yb170    6.5715743629e-13
  70  yb171    3.1254412859e-12
  70  yb172    4.839408023e-12 
  70  yb173    3.6130687077e-12
  70  yb174    7.2295360582e-12
  70  yb176    2.9679751564e-12
  71  lu175    4.0143658562e-12
  71  lu176    1.171771722e-13 
  72  hf174    3.7416960378e-14
  72  hf176    1.2162450138e-12
  72  hf177    4.3715004175e-12
  72  hf178    6.4496947851e-12
  72  hf179    3.2383311971e-12
  72  hf180    8.3865600847e-12
  73  ta180    3.072260183e-16 
  73  ta181    2.5741313131e-12
  74  w 180    2.867200029e-14 
  74  w 182    6.4020859906e-12
  74  w 183    3.4761216351e-12
  74  w 184    7.4836044608e-12
  74  w 186    7.0193038931e-12
  75  re185    2.2510319816e-12
  75  re187    4.1050022937e-12
  76  os184    1.7332134872e-14
  76  os186    1.3998901586e-12
  76  os187    1.119415712e-12 
  76  os188    1.1809193577e-11
  76  os189    1.4474824113e-11
  76  os190    2.3663827491e-11
  76  os192    3.6234711878e-11
  77  ir191    3.2043979135e-11
  77  ir193    5.4428841557e-11
  78  pt190    2.0791502646e-14
  78  pt192    1.1735787118e-12
  78  pt194    4.9990260428e-11
  78  pt195    5.1566365758e-11
  78  pt196    3.8670881774e-11
  78  pt198    1.1085732189e-11
  79  au197    3.0723484342e-11
  80  hg196    8.1536407338e-14
  80  hg198    5.4747537507e-12
  80  hg199    9.3104870465e-12
  80  hg200    1.281286401e-11 
  80  hg201    7.3470959045e-12
  80  hg202    1.6728053703e-11
  80  hg204    3.8867906176e-12
  81  tl203    8.9263821535e-12
  81  tl205    2.1517873457e-11
  82  pb204    4.295487638e-12 
  82  pb206    4.0361185812e-11
  82  pb207    4.4880848837e-11
  82  pb208    1.2908419681e-10
  83  bi209    1.7504532941e-11
  90  th232    4.5550403255e-12
  92  u 234    2.530754946e-17 
  92  u 235    3.0862286187e-13
  92  u 238    9.7441938881e-13
